url,name,amount,maxwithdraw,minwithdraw,ratio,rollover,score
intensityaus.com,Extra Money No.6 (Daily),88.88,0.0,0.0,0.0,0.0,8888.0
nightclubaus.com,Weekly Cash Back,88.88,0.0,0.0,0.0,444.4,8888.0
ozreel88.com,VVIP SILVER,88.88,0.0,0.0,0.0,533.28,8888.0
spinking.co,Birthday Bonus,88.0,0.0,0.0,0.0,0.0,8800.0
v8au.com,BIRTHDAY BONUS,88.0,0.0,0.0,0.0,0.0,8800.0
raabet9.com,Birthday Bonus,88.0,0.0,0.0,0.0,0.0,8800.0
methking.com,Birthday Bonus,88.0,0.0,0.0,0.0,0.0,8800.0
keno99.com,TELEGRAM BONUS 2,88.0,0.0,0.0,0.0,299.0,8800.0
slotmate88.com,Birthday Bonus,88.0,0.0,0.0,0.0,0.0,8800.0
cuntwin.com,Birthday Bonus,88.0,0.0,0.0,0.0,0.0,8800.0
fuckingmeth.com,Birthday Bonus,88.0,0.0,0.0,0.0,0.0,8800.0
pokies33au.com,Depsoit $3000,88.0,0.0,0.0,0.0,5.0,8800.0
fortune88au.com,VIP Upgrade Bonus – Gold,88.0,0.0,0.0,0.0,3.0,8800.0
fortune88au.com,FREE CHIP 88$,88.0,0.0,0.0,0.0,1.0,8800.0
fortune88au.com,LOSE CREDIT FREE CHIP 58$,88.0,0.0,0.0,0.0,1.0,8800.0
mwaus.co,Lucky Spin AUD 88,88.0,0.0,0.0,0.0,704.0,8800.0
ausbet88.com,LOSSCREDIT,88.0,0.0,0.0,0.0,20.0,8800.0
deespin.com,Birthday Bonus,88.0,0.0,0.0,0.0,0.0,8800.0
truewin77.com,EXCLUSIVE FREEBIE,87.77,0.0,0.0,0.0,0.0,8777.0
blaze007.com,Mystery Box 2,87.0,0.0,0.0,0.0,1.0,8700.0
megabet26.com,VIP Weekly FREE ⭐️⭐️⭐️,86.99,0.0,0.0,0.0,869.9,8699.0
retro33.com,Mystery Box 2,83.0,0.0,0.0,0.0,1.0,8300.0
pokies33au.com,VIP Daily Deposit x15,83.0,0.0,0.0,0.0,166.0,8300.0
nightclubaus.com,Weekly Reward I,80.88,0.0,0.0,0.0,3.0,8088.0
aucloud9.com,MAY WELCOME BACK BONUS,80.0,0.0,0.0,0.0,0.0,8000.0
king88pokies.com,Welcome Bonus,80.0,0.0,0.0,0.0,0.0,8000.0
cashnet99.com,Welcome Bonus 80%,80.0,0.0,0.0,0.0,0.0,8000.0
i8au.online,Mini Game Reward - Free Credit AUD80,80.0,0.0,0.0,0.0,0.0,8000.0
cashnet99.com,WEEKLY DEPOSIT 50 TIMES,78.88,0.0,0.0,0.0,2.0,7888.0
topcash7.com,SPECIAL RED PACKET A$77,77.0,0.0,0.0,0.0,0.0,7700.0
topcash7.com,FREE SPIN A$77,77.0,0.0,0.0,0.0,0.0,7700.0
truewin77.com,IMPERIUM XCLUSIVE,77.0,0.0,0.0,0.0,0.0,7700.0
megabet26.com,VIP Weekly FREE ⭐️⭐️,76.99,0.0,0.0,0.0,769.9,7699.0
7pokies.com,Mini Game Reward - Free Credit AUD76,76.0,0.0,0.0,0.0,0.0,7600.0
9au.com,10AM BOOST,70.0,0.0,0.0,0.0,5.0,7000.0
betworld96au.com,"ᴅᴇᴘᴏꜱɪᴛ ᴀᴜᴅ1,000",70.0,0.0,0.0,0.0,70.0,7000.0
in8.one,Rescue Bonus Tier 3,70.0,0.0,0.0,0.0,0.0,7000.0
enjoy96.com,2️⃣⭐️ VIP FREE,70.0,0.0,0.0,0.0,70.0,7000.0
onya88.com,DAILY DEPOSIT $1000,68.88,0.0,0.0,0.0,344.4,6888.0
ozreel88.com,VIP PLATINUM,68.88,0.0,0.0,0.0,344.4,6888.0
unitedau.com,Day 7 (Sunday),68.0,0.0,0.0,0.0,0.0,6800.0
pokies33au.com,Daily Deposit,68.0,0.0,0.0,0.0,340.0,6800.0
ubet96.com,Referral Bonus 3,68.0,0.0,0.0,0.0,2.0,6800.0
mwaus.co,Lucky Spin AUD 68,68.0,0.0,0.0,0.0,544.0,6800.0
jw8au.com,VIP MEMBER MONTHLY FREE #C,68.0,0.0,0.0,0.0,0.0,6800.0
blaze007.com,Mystery Box 1,67.0,0.0,0.0,0.0,1.0,6700.0
megabet26.com,VIP Weekly FREE ⭐️,66.99,0.0,0.0,0.0,669.9,6699.0
ubet66aus.com,Weekly Bonus,66.66,0.0,0.0,0.0,66.66,6666.0
intensityaus.com,New Player FREE Pm Live Chat,66.33,0.0,0.0,0.0,0.0,6633.0
cr33au.com,Loss Credit for free kiosk,63.33,0.0,0.0,0.0,0.0,6333.0
retro33.com,Mystery Box 1,63.0,0.0,0.0,0.0,1.0,6300.0
rec99au.com,VIP(2) LOYALTY PROGRAM,60.0,0.0,0.0,0.0,0.0,6000.0
aucloud9.com,MAY WELCOME BACK BONUS,59.0,0.0,0.0,0.0,0.0,5900.0
efa99aus.com,2️⃣⭐️ VIP FREE,59.0,0.0,0.0,0.0,0.0,5900.0
fortune88au.com,Subscribe Bonus,58.88,0.0,0.0,0.0,1.0,5888.0
cashnet99.com,DAILY DEPOSIT 30 TIMES,58.88,0.0,0.0,0.0,1.0,5888.0
king88pokies.com,VIP BRONZE,58.0,0.0,0.0,0.0,58.0,5800.0
fortune88au.com,FREE CHIP 58$,58.0,0.0,0.0,0.0,1.0,5800.0
truewin77.com,EXCLUSIVE FREEBIE,57.77,0.0,0.0,0.0,0.0,5777.0
live77bet.com,Welcome Monthly Back Free,57.0,0.0,0.0,0.0,0.0,5700.0
auwin7.com,DAILY CHECK IN DAY7,56.88,0.0,0.0,0.0,0.0,5688.0
wombats88.com,Loyalty Ⅲ,53.33,0.0,0.0,0.0,0.0,5333.0
ubet96.com,Cashback Silver,50.88,0.0,0.0,0.0,50.88,5088.0
nightclubaus.com,Daily Reward III,50.88,0.0,0.0,0.0,152.64,5088.0
spinking.co,Welcome Bonus Deposit,50.0,0.0,0.0,0.0,3.0,5000.0
v8au.com,CASINO STARTER PACK,50.0,0.0,0.0,0.0,0.0,5000.0
v8au.com,SPORT STARTER PACK,50.0,0.0,0.0,0.0,0.0,5000.0
mrpay9.com,Imperium&Vp Weekly,50.0,0.0,0.0,0.0,0.0,5000.0
7pokies.com,Boongo Exclusive II,50.0,0.0,0.0,0.0,0.0,5000.0
kangaroo88.com,WELCOME BONUS I,50.0,0.0,0.0,0.0,0.0,5000.0
kangaroo88.com,WELCOME BONUS II,50.0,0.0,0.0,0.0,0.0,5000.0
aucloud9.com,IMPERIUM Event Game,50.0,0.0,0.0,0.0,0.0,5000.0
aucloud9.com,Facebook Free,50.0,0.0,0.0,0.0,0.0,5000.0
aucloud9.com,100% SLOT WELCOME BONUS,50.0,0.0,0.0,0.0,0.0,5000.0
thestar.asia,Monthly Rejoin Bonus,50.0,0.0,0.0,0.0,5.0,5000.0
methking.com,Welcome Bonus II 50%,50.0,0.0,0.0,0.0,3.0,5000.0
king88pokies.com,VP & Imperium Weekly,50.0,0.0,0.0,0.0,0.0,5000.0
ubet66aus.com,VVVIP DAILY FREE,50.0,0.0,0.0,0.0,1.0,5000.0
ubet66aus.com,WFGaming FREE 50,50.0,0.0,0.0,0.0,1.0,5000.0
ubet66aus.com,Welcome Bonus 150%,50.0,0.0,0.0,0.0,2.0,5000.0
ubet66aus.com,Vip Bonus,50.0,0.0,0.0,0.0,50.0,5000.0
richman96.com,Facebook Free,50.0,0.0,0.0,0.0,0.0,5000.0
richman96.com,WELCOME BONUS 100%,50.0,0.0,0.0,0.0,0.0,5000.0
richman96.com,WELCOME BACK FREE,50.0,0.0,0.0,0.0,0.0,5000.0
9au.com,WEEKEND BOOST,50.0,0.0,0.0,0.0,3.0,5000.0
9au.com,10PM BOOST,50.0,0.0,0.0,0.0,5.0,5000.0
gday77au.com,VIP 2♠,50.0,0.0,0.0,0.0,50.0,5000.0
crown777au.com,WELCOME BONUS,50.0,0.0,0.0,0.0,0.0,5000.0
live77bet.com,IMPERIUM Event Game,50.0,0.0,0.0,0.0,0.0,5000.0
live77bet.com,Facebook Free,50.0,0.0,0.0,0.0,0.0,5000.0
live77bet.com,100% SLOT WELCOME BONUS,50.0,0.0,0.0,0.0,0.0,5000.0
wombats88.com,$800 Daily Objective,50.0,0.0,0.0,0.0,0.0,5000.0
pokies33au.com,Welcome Bonus 100%,50.0,0.0,0.0,0.0,0.0,5000.0
cashnet99.com,Welcome Bonus 50%,50.0,0.0,0.0,0.0,0.0,5000.0
v6aus.com,⭐️⭐️ᴠɪᴘ⭐️⭐️⭐️,50.0,0.0,0.0,0.0,0.0,5000.0
ubet96.com,Welcome Bonus 100%,50.0,0.0,0.0,0.0,0.0,5000.0
in8.one,Rescue Bonus Tier 2,50.0,0.0,0.0,0.0,0.0,5000.0
intensityaus.com,Welcome Bonus (Slots),50.0,0.0,0.0,0.0,0.0,5000.0
intensityaus.com,Welcome Bonus (Live),50.0,0.0,0.0,0.0,0.0,5000.0
icebet888.com,Slot Welcome Bonus 50%,50.0,0.0,0.0,0.0,0.0,5000.0
icebet888.com,Live Casino Welcome Bonus 50%,50.0,0.0,0.0,0.0,20.0,5000.0
koala88.co,WELCOME BONUS I,50.0,0.0,0.0,0.0,0.0,5000.0
koala88.co,WELCOME BONUS II,50.0,0.0,0.0,0.0,0.0,5000.0
deespin.com,Welcome Bonus Deposit II,50.0,0.0,0.0,0.0,3.0,5000.0
nightclubaus.com,Daily Facebook Step,50.0,0.0,0.0,0.0,0.0,5000.0
nightclubaus.com,Welcome Bonus,50.0,0.0,0.0,0.0,0.0,5000.0
weplay88.com,Day 7 loss,50.0,0.0,0.0,0.0,0.0,5000.0
bk8au.online,Mini Game Reward - Free Credit AUD50,50.0,0.0,0.0,0.0,0.0,5000.0
auwin7.com,Lucky Free Spin,50.0,0.0,0.0,0.0,50.0,5000.0
speedaud.com,SPECIAL 50$ TURNOVER X3 ONLY,50.0,0.0,0.0,0.0,3.5,5000.0
onyxaud.com,Day 7 loss,50.0,0.0,0.0,0.0,0.0,5000.0
race96.com,SUNDAY,50.0,0.0,0.0,0.0,5.0,5000.0
megabet26.com,Welcome Bonus I,50.0,0.0,0.0,0.0,18.0,5000.0
intensityaus.com,Extra Money No.5 (Daily),46.88,0.0,0.0,0.0,0.0,4688.0
unitedau.com,Day 6 (Saturday),45.0,0.0,0.0,0.0,0.0,4500.0
tab968.com,Day 6 (Saturday),45.0,0.0,0.0,0.0,0.0,4500.0
weplay88.com,Day 6 loss,45.0,0.0,0.0,0.0,0.0,4500.0
onyxaud.com,Day 6 loss,45.0,0.0,0.0,0.0,0.0,4500.0
ubet66aus.com,Daily Mission,40.66,0.0,0.0,0.0,0.0,4066.0
mee88aus.com,200x6 Stack,40.0,0.0,0.0,0.0,0.0,4000.0
unitedau.com,Day 5 (Friday),40.0,0.0,0.0,0.0,0.0,4000.0
iau9.com,Supreme Weekend Free⭐️⭐️⭐️⭐️,40.0,0.0,0.0,0.0,40.0,4000.0
tab968.com,Day 5 (Friday),40.0,0.0,0.0,0.0,0.0,4000.0
weplay88.com,Day 5 loss,40.0,0.0,0.0,0.0,0.0,4000.0
